person,path,labels,indoor_outdoor,day_night,season_hint,cat_outdoor_activities,cat_food_drink,cat_cultural,cat_night_life,cat_concerts_shows,cat_casino_gambling,cat_attractions,cat_sporting_events
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_4226.jpeg,"['friends at restaurant', 'ethnic cuisine', 'shared meal', 'dining table', 'casual dining', 'indoor dining', 'beverage', 'group meal', 'relaxed atmosphere']",indoor,unknown,unknown,0.0,0.8,0.1,0.05,0.0,0.0,0.05,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_7282.HEIC,"['relaxing', 'poolside', 'tropical', 'vacation', 'water jets', 'summer leisure', 'friends', 'spa day', 'outdoor relaxation', 'lush greenery']",outdoor,day,summer,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_9449.HEIC,"['skiing', 'ski lift', 'winter sports', 'snowy landscape', 'winter clothing', 'snowboard', 'helmet', 'goggles']",outdoor,day,winter,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Mike’s Album,/content/PicturesAlbum_Mirror/Mike’s Album/IMG_9953.JPG,"['boat ride', 'friends hangout', 'sunglasses', 'sunny day', 'camera', 'lake', 'blue sky', 'outdoor fun']",outdoor,day,unknown,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/2276F57C-A8E9-472C-8C27-F79231917114.JPG,"['Statue of Liberty', 'tourists', 'historical monument', 'landmark', 'cloudy sky', 'smiling friends', 'outdoor visit']",outdoor,day,unknown,0.15,0.0,0.7,0.0,0.0,0.0,0.15,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/4df3b5af-895b-464c-b311-207031fee4f8.JPG,"['ice skating', 'friends hangout', 'winter clothing', 'outdoor fun', 'ice rink', 'group activity', 'leisure']",outdoor,day,winter,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_0332.HEIC,"['viewpoint', 'bridge', 'mountains', 'trees', 'couple', 'nature', 'scenic', 'wooden structure']",outdoor,day,unknown,0.8,0.0,0.1,0.0,0.0,0.0,0.1,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_0474.HEIC,"['indoor sculpture', 'art installation', 'colorful display', 'museum visit', 'art exhibit', 'indoor railing', 'casual attire', 'smiling person']",indoor,day,unknown,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_0622.HEIC,"['volcano', 'family photo', 'viewpoint', 'tropical forest', 'nature park', 'hiking trail', 'greenery', 'dusk scenery']",outdoor,dusk/dawn,unknown,0.7,0.0,0.1,0.0,0.0,0.0,0.2,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_0894.HEIC,"['sunset', 'landscape', 'grassland', 'cloudy sky', 'sun rays', 'tranquil', 'nature', 'scenic view']",outdoor,dusk/dawn,unknown,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_0968.HEIC,"['theater', 'playbill', 'production', 'les miserables', 'audience', 'stage', 'indoor', 'performance', 'theater seating', 'ornate decor']",indoor,unknown,unknown,0.0,0.0,0.8,0.1,0.1,0.0,0.0,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_1645.HEIC,"['beach', 'selfie', 'winter clothing', 'friends', 'sunny day', 'cold weather', 'ocean', 'sand']",outdoor,day,winter,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_1768.HEIC,"['dessert display', 'pastries', 'cakes', 'bakery', 'sweet treats', 'confectionery', 'assorted desserts', 'gourmet desserts']",indoor,unknown,unknown,0.0,0.9,0.05,0.0,0.0,0.0,0.05,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_1773.HEIC,"['stargazing', 'night sky', 'beach', 'silhouette', 'stars', 'astronomy', 'coastal']",outdoor,night,unknown,0.6,0.0,0.1,0.2,0.0,0.0,0.1,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_2537.HEIC,"['Gateway Arch', 'national park', 'iconic landmark', 'urban setting', 'clear sky', 'winter day', 'modern architecture']",outdoor,day,winter,0.1,0.0,0.2,0.0,0.0,0.0,0.7,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_2541.HEIC,"['aerial view', 'cityscape', 'snow', 'urban park', 'historical building', 'architecture', 'winter scene', 'downtown']",outdoor,day,winter,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.2
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_2721.HEIC,"['stuffed animals', 'toy store', 'shelves', 'plush toys', 'gift shop', 'bright lighting', 'colorful display', 'cute decor']",indoor,unknown,unknown,0.0,0.0,0.2,0.0,0.0,0.0,0.7,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_2913.HEIC,"['cherry blossoms', 'springtime park', 'green lawn', 'pink flowers', 'outdoor walk', 'trees in bloom', 'scenic nature', 'people strolling']",outdoor,day,spring,0.7,0.0,0.1,0.0,0.0,0.0,0.2,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_3744.HEIC,"['mosaic art', 'outdoor gallery', 'artistic installation', 'sculpture garden', 'creative architecture']",outdoor,day,unknown,0.2,0.0,0.6,0.0,0.0,0.0,0.2,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_3916.HEIC,"['bubble tea', 'colorful drinks', 'matcha', 'mango smoothie', 'dessert drinks', 'beverage shop', 'takeaway cups']",indoor,unknown,unknown,0.0,0.8,0.1,0.05,0.0,0.0,0.05,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_4148.HEIC,"['baseball game', 'stadium', 'crowd', 'sunset', 'outdoor sports', 'spectators', 'field', 'scoreboard']",outdoor,dusk/dawn,unknown,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.5
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_4425.HEIC,"['campfire', 'group gathering', 'night outdoors', 'social event', 'firewood', 'outdoor seating', 'friends hangout', 'nighttime chill', 'leisure vibes']",outdoor,night,unknown,0.5,0.0,0.1,0.2,0.0,0.0,0.1,0.1
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_4966.HEIC,"['hot pot', 'dining table', 'meat platters', 'vegetables', 'sliced beef', 'broth pots', 'restaurant', 'group dining', 'chopsticks', 'condiments']",indoor,unknown,unknown,0.0,0.85,0.1,0.05,0.0,0.0,0.0,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_5055.HEIC,"['market', 'souvenirs', 'handicrafts', 'shopping', 'colorful bags', 'hats', 'indoor market', 'travel', 'local crafts', 'warehouse', 'tourist spot']",indoor,day,unknown,0.0,0.0,0.3,0.0,0.0,0.0,0.7,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_6118.HEIC,"['tourist attraction', 'modern architecture', 'urban', 'sightseeing', 'group photo', 'landmark', 'outdoor', 'winter clothing']",outdoor,day,winter,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_6762.HEIC,"['beach view', 'turquoise ocean', 'palm trees', 'clear sky', 'seaside', 'tropical', 'vacation spot']",mixed,day,unknown,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_7711.heic,"['pink lake', 'woman sitting', 'heart shape', 'white sand', 'blue sky', 'summer day', 'travel', 'unique landscape']",outdoor,day,summer,0.5,0.0,0.1,0.0,0.0,0.0,0.4,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_8167.HEIC,"['horseback riding', 'forest trail', 'stream crossing', 'sunny day', 'autumn trees', 'leisure activity', 'nature']",outdoor,day,autumn,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_8341.HEIC,"['group photo', 'escape room', 'red lighting', 'indoor activity', 'friends', 'team building', 'fun', 'puzzle solving', 'adventure', 'dressed casually']",indoor,unknown,unknown,0.0,0.0,0.2,0.3,0.0,0.0,0.5,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_8636.HEIC,"['stage performance', 'theater', 'elaborate costumes', 'colorful lights', 'audience', 'indoor show', 'live entertainment', 'spectacle']",indoor,unknown,unknown,0.0,0.0,0.1,0.1,0.7,0.0,0.1,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_9876.HEIC,"['Chinese archway', 'urban street', 'shopping area', 'tourist', 'landmark', 'cultural architecture', 'pedestrian walkway']",outdoor,day,unknown,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0
Melissa's Album,/content/PicturesAlbum_Mirror/Melissa's Album/IMG_9902.HEIC,"['decorative cart', 'outdoor display', 'traditional art', 'coffee bags', 'greenery', 'cultural setting', 'colorful design']",outdoor,day,unknown,0.1,0.0,0.5,0.0,0.0,0.0,0.4,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20220501_120911.jpg,"['hiking trail', 'rocky landscape', 'alpine lake', 'nature', 'outdoor adventure', 'mountain', 'scenic view']",outdoor,day,unknown,0.8,0.0,0.05,0.0,0.0,0.0,0.15,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20230304_190321351_iOS.jpg,"['beach', 'ocean view', 'hat', 'sunbathing', 'tropical setting', 'relaxation', 'summer vibe']",outdoor,day,summer,0.55,0.05,0.05,0.05,0.05,0.05,0.15,0.05
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20230520_152627515_iOS.heic,"['hiking', 'canyon', 'narrow trail', 'rock formation', 'nature walk', 'outdoor adventure', 'lush vegetation']",outdoor,day,unknown,0.8,0.0,0.1,0.0,0.0,0.0,0.1,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20230521_161103627_iOS.heic,"['rock art', 'historical site', 'group photo', 'stone wall', 'outdoor exploration', 'prehistoric art', 'nature setting', 'cultural heritage']",outdoor,day,unknown,0.2,0.0,0.6,0.0,0.0,0.0,0.2,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20230916_154632551_iOS.heic,"['breakfast spread', 'indoor dining', 'plated food', 'red glasses', 'holiday meal', 'family gathering', 'pancakes', 'fruity dishes']",indoor,day,unknown,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.1
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20230917_181414241_iOS.jpg,"['swimming pool', 'tropical setting', 'relaxing', 'vacation', 'pavilion', 'friends swimming', 'sunbathing', 'outdoors', 'cloudy', 'tropical plants']",outdoor,day,unknown,0.65,0.0,0.05,0.05,0.0,0.0,0.2,0.05
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20230930_222918592_iOS.heic,"['dog indoors', 'colorful carpet', 'relaxing atmosphere', 'pet-friendly', 'home setting', 'contemporary decor', 'casual setting']",indoor,unknown,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20231021_212217472_iOS.heic,"['mountain landscape', 'green hills', 'cloudy sky', 'car parked', 'nature view', 'distant peaks']",outdoor,day,unknown,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20231021_220211199_iOS.jpg,"['dog', 'patio', 'pet', 'happy', 'deck', 'friendship']",outdoor,unknown,unknown,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20231118_142443862_iOS.heic,"['hiking trail', 'forest', 'group of friends', 'outdoor adventure', 'woodland', 'nature', 'trees', 'excursion']",outdoor,day,unknown,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20241006_235321748_iOS.heic,"['sunset', 'lake', 'silhouette', 'calm water', 'grassy shore']",outdoor,dusk/dawn,unknown,0.7,0.0,0.1,0.0,0.0,0.0,0.2,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20241222_010703050_iOS.heic,"['arena', 'group photo', 'basketball game', 'sports event', 'indoor venue', 'crowd', 'jumbotron', 'stadium seating']",indoor,night,unknown,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.7
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20241228_180539756_iOS.heic,"['control room', 'NASA', 'mission control', 'group photo', 'space center', 'technology', 'computers', 'monitors']",indoor,unknown,unknown,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20250103_195350816_iOS.heic,"['urban park', 'river view', 'urban skyline', 'leisure sitting', 'autumn trees', 'cityscape', 'backpack', 'winter wear']",outdoor,day,autumn,0.7,0.0,0.2,0.0,0.0,0.0,0.1,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20250108_222845575_iOS 1.heic,"['coffee shop', 'warm drink', 'relaxing', 'casual attire', 'glasses', 'cozy atmosphere', 'fall fashion', 'indoor lighting', 'barista', 'decor']",indoor,unknown,autumn,0.0,0.6,0.1,0.1,0.0,0.0,0.1,0.1
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20250301_221130657_iOS.heic,"['lake', 'reading', 'relaxing', 'trees', 'clear sky', 'park', 'reflection', 'outdoor leisure', 'calm water', 'daytime']",outdoor,day,unknown,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20250310_160845228_iOS.heic,"['marble sculpture', 'art museum', 'classical art', 'statue display', 'historical art', 'indoor exhibit', 'artistic detail', 'cultural heritage']",indoor,unknown,unknown,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20250311_163712112_iOS.heic,"['library', 'architecture', 'dome', 'historic building', 'reading room', 'columns', 'interior design', 'arches', 'statues', 'ornate ceiling']",indoor,unknown,unknown,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20250311_201234650_iOS.heic,"['planetarium', 'solar system exhibit', 'space display', 'museum', 'educational', 'science', 'planet models', 'indoor exhibit']",indoor,unknown,unknown,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20250514_002338705_iOS.heic,"['airplane wing', 'sunset', 'flying', 'window view', 'sky', 'clouds', 'travel', 'aerial view']",mixed,dusk/dawn,unknown,0.0,0.0,0.2,0.0,0.0,0.0,0.8,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20250920_201346782_iOS.heic,"['painting setup', 'art supplies', 'outdoor painting', 'canvases', 'paint brushes', 'painting palettes', 'sunset painting', 'nature view']",outdoor,day,unknown,0.1,0.0,0.7,0.0,0.0,0.0,0.1,0.1
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20250921_003909314_iOS.heic,"['cocktails', 'dim lighting', 'indoor setting', 'night out', 'bar scene', 'decorative drinks']",indoor,night,unknown,0.0,0.65,0.1,0.15,0.05,0.0,0.05,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/20251012_152306287_iOS.heic,"['river', 'hillside', 'water', 'trees', 'clear sky', 'nature', 'scenic view']",outdoor,day,unknown,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/IMG_0262.jpg,"['theater performance', 'curtain call', 'stage', 'audience', 'actors', 'scenic design', 'lighting', 'indoor', 'live show']",indoor,unknown,unknown,0.0,0.0,0.7,0.1,0.2,0.0,0.0,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/IMG_1160.jpg,"['concert hall', 'empty stage', 'music venue', 'chairs arranged', 'orchestra setup', 'wooden flooring', 'stage lighting', 'indoor architecture']",indoor,unknown,unknown,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/IMG_3571.jpg,"['painting', 'art gallery', 'impressionist', 'floral artwork', 'museum exhibit', 'canvas', 'framed art', 'colorful flowers']",indoor,unknown,unknown,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/IMG_3720.jpg,"['church', 'colonial architecture', 'stone steps', 'sitting', 'palm tree', 'historical building', 'cloudy weather', 'cultural site']",outdoor,day,unknown,0.1,0.0,0.6,0.0,0.0,0.0,0.2,0.1
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/IMG_6175.jpg,"['statue', 'public square', 'sunny day', 'architecture', 'tourist spot', 'historic building', 'trees', 'urban park']",outdoor,day,unknown,0.2,0.0,0.6,0.0,0.0,0.0,0.2,0.0
Caro's Album,/content/PicturesAlbum_Mirror/Caro's Album/IMG_7057.jpg,"['river', 'rock formations', 'rafting', 'friends', 'outdoor adventure', 'kayaking', 'nature', 'lush greenery']",outdoor,day,unknown,0.7,0.0,0.05,0.0,0.0,0.0,0.25,0.0
Paolo's Album,/content/PicturesAlbum_Mirror/Paolo's Album/IMG_0304.PNG,"['panoramic view', 'lake', 'islands', 'cloudy sky', 'village', 'parking lot', 'scenic landscape', 'greenery', 'winding road']",outdoor,day,unknown,0.6,0.0,0.2,0.0,0.0,0.0,0.2,0.0
Paolo's Album,/content/PicturesAlbum_Mirror/Paolo's Album/IMG_0733.HEIC,"['historic building', 'government building', 'architecture', 'flag', 'urban park', 'street lamp', 'plaza', 'fence', 'daytime']",outdoor,day,unknown,0.1,0.0,0.6,0.0,0.0,0.0,0.3,0.0
Paolo's Album,/content/PicturesAlbum_Mirror/Paolo's Album/IMG_1206.HEIC,"['desert beach', 'rocky coastline', 'ocean', 'sandy cliffs', 'cloudy sky', 'remote location']",outdoor,day,unknown,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0
